title	series	country	face_value	release_date	mint	mint_short	metal	metal_fineness	mintage	mintage_display	weight_g	weight_oz	catalog_number	catalog_suffix	quality	diameter_mm	thickness_mm	length_mm	width_mm	image_obverse	image_reverse
American Silver Eagle 2021	American Eagle	США	1 доллар	2021-01-01	Монетный двор США	US Mint	Серебро	999/1000	28274500	28 274 500	31,1035	1 унция	US-ASE-2021-BU	21	АЦ	40,6	2,98				
American Silver Eagle 2021 (S)	American Eagle	США	1 доллар	2021-01-01	Сан-Франциско	San Francisco	Серебро	999/1000	274536	274 536	31,1035	1 унция	US-ASE-2021-S-P	21S	Пруф	40,6	2,98				
American Silver Eagle 2021 (W)	American Eagle	США	1 доллар	2021-01-01	Вест-Поинт	West Point	Серебро	999/1000	416047	416 047	31,1035	1 унция	US-ASE-2021-W-P	21W	Пруф	40,6	2,98				
American Silver Eagle 2020	American Eagle	США	1 доллар	2020-01-01	Монетный двор США	US Mint	Серебро	999/1000	31329500	31 329 500	31,1035	1 унция	US-ASE-2020-BU	20	АЦ	40,6	2,98				
American Silver Eagle 2020 (S)	American Eagle	США	1 доллар	2020-01-01	Сан-Франциско	San Francisco	Серебро	999/1000	258727	258 727	31,1035	1 унция	US-ASE-2020-S-P	20S	Пруф	40,6	2,98				
American Silver Eagle 2020 (W)	American Eagle	США	1 доллар	2020-01-01	Вест-Поинт	West Point	Серебро	999/1000	154867	154 867	31,1035	1 унция	US-ASE-2020-W-BU	20W	АЦ	40,6	2,98				
American Silver Eagle 2020 (W)	American Eagle	США	1 доллар	2020-01-01	Вест-Поинт	West Point	Серебро	999/1000	405558	405 558	31,1035	1 унция	US-ASE-2020-W-P	20W	Пруф	40,6	2,98				
American Silver Eagle 2019	American Eagle	США	1 доллар	2019-01-01	Монетный двор США	US Mint	Серебро	999/1000	14863500	14 863 500	31,1035	1 унция	US-ASE-2019-BU	19	АЦ	40,6	2,98				
American Silver Eagle 2019 (S)	American Eagle	США	1 доллар	2019-01-01	Сан-Франциско	San Francisco	Серебро	999/1000	202206	202 206	31,1035	1 унция	US-ASE-2019-S-P	19S	Пруф	40,6	2,98				
American Silver Eagle 2019 (W)	American Eagle	США	1 доллар	2019-01-01	Вест-Поинт	West Point	Серебро	999/1000	140779	140 779	31,1035	1 унция	US-ASE-2019-W-BU	19W	АЦ	40,6	2,98				
American Silver Eagle 2019 (W)	American Eagle	США	1 доллар	2019-01-01	Вест-Поинт	West Point	Серебро	999/1000	410334	410 334	31,1035	1 унция	US-ASE-2019-W-P	19W	Пруф	40,6	2,98				
American Silver Eagle 2018	American Eagle	США	1 доллар	2018-01-01	Монетный двор США	US Mint	Серебро	999/1000	15700000	15 700 000	31,1035	1 унция	US-ASE-2018-BU	18	АЦ	40,6	2,98				
American Silver Eagle 2018 (S)	American Eagle	США	1 доллар	2018-01-01	Сан-Франциско	San Francisco	Серебро	999/1000	208271	208 271	31,1035	1 унция	US-ASE-2018-S-P	18S	Пруф	40,6	2,98				
American Silver Eagle 2018 (W)	American Eagle	США	1 доллар	2018-01-01	Вест-Поинт	West Point	Серебро	999/1000	138966	138 966	31,1035	1 унция	US-ASE-2018-W-BU	18W	АЦ	40,6	2,98				
American Silver Eagle 2018 (W)	American Eagle	США	1 доллар	2018-01-01	Вест-Поинт	West Point	Серебро	999/1000	381811	381 811	31,1035	1 унция	US-ASE-2018-W-P	18W	Пруф	40,6	2,98				
American Silver Eagle 2017	American Eagle	США	1 доллар	2017-01-01	Монетный двор США	US Mint	Серебро	999/1000	22065500	22 065 500	31,1035	1 унция	US-ASE-2017-BU	17	АЦ	40,6	2,98				
American Silver Eagle 2017 (S)	American Eagle	США	1 доллар	2017-01-01	Сан-Франциско	San Francisco	Серебро	999/1000	124885	124 885	31,1035	1 унция	US-ASE-2017-S-P	17S	Пруф	40,6	2,98				
American Silver Eagle 2017 (W)	American Eagle	США	1 доллар	2017-01-01	Вест-Поинт	West Point	Серебро	999/1000	176739	176 739	31,1035	1 унция	US-ASE-2017-W-BU	17W	АЦ	40,6	2,98				
American Silver Eagle 2017 (W)	American Eagle	США	1 доллар	2017-01-01	Вест-Поинт	West Point	Серебро	999/1000	400287	400 287	31,1035	1 унция	US-ASE-2017-W-P	17W	Пруф	40,6	2,98				
