file	changed	border_dark_ratio	removed_pixels	removed_ratio
100-years-of-winnie-the-pooh-kindness-2026-50p-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
100-years-of-winnie-the-pooh-kindness-2026-50p-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
100th-anniversary-of-the-birth-of-qeii-two-coin-silver-proof-set-obv.webp	0	0.0000	0	0.0000
100th-anniversary-of-the-birth-of-qeii-two-coin-silver-proof-set-rev.webp	0	0.0000	0	0.0000
100th-anniversary-of-the-birth-of-queen-elizabeth-ii-2026-1kg-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
100th-anniversary-of-the-birth-of-queen-elizabeth-ii-2026-1kg-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
100th-anniversary-of-the-birth-of-queen-elizabeth-ii-2026-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
100th-anniversary-of-the-birth-of-queen-elizabeth-ii-2026-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
100th-anniversary-of-the-birth-of-queen-elizabeth-ii-2026-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
100th-anniversary-of-the-birth-of-queen-elizabeth-ii-2026-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
150-years-of-liberty-2025-silver-proof-colour-coin-obv.webp	0	0.0000	0	0.0000
150-years-of-liberty-2025-silver-proof-colour-coin-rev.webp	0	0.0000	0	0.0000
1995-eire-united-nations-silver-1-obv.webp	0	0.0000	0	0.0000
1995-eire-united-nations-silver-1-rev.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-2025-silver-proof-coin-cert.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-2025-silver-proof-coin-obv.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-2025-silver-proof-coin-rev.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-2025-silver-proof-piedfort-coin-cert.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-2025-silver-proof-piedfort-coin-obv.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-2025-silver-proof-piedfort-coin-rev.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-collector-set-cert.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-collector-set-obv.webp	0	0.0000	0	0.0000
200-years-of-the-modern-railway-collector-set-rev.webp	0	0.0000	0	0.0000
200-years-of-the-rnli-2024-uk-50p-silver-proof-coin-obv.webp	1	0.9997	514706	0.3574
200-years-of-the-rnli-2024-uk-50p-silver-proof-coin-rev.webp	1	0.9997	542368	0.3766
200-years-of-the-rnli-2024-uk-50p-silver-proof-piedfort-coin-obv.webp	1	1.0000	604753	0.4200
200-years-of-the-rnli-2024-uk-50p-silver-proof-piedfort-coin-rev.webp	1	1.0000	532029	0.3695
