url	title	mintage	weight_oz	purity	face_value	diameter	evidence
https://germaniamint.com/all-coins/co-branded/americana-uncle-sam-2-oz-ag-999-9-cast-bar	Americana &#8211; Uncle Sam 2 oz Ag 999.9 Cast Bar		2 oz				
https://germaniamint.com/all-coins/co-branded/americana-uncle-sam-2-oz-ag-999-9-cast-bar-2	Americana &#8211; Uncle Sam 2 oz Ag 999.9 Cast Bar		2 oz				
https://germaniamint.com/all-coins/co-branded/pink-october-silver-cast-bar-ag-999-9-2-oz	Pink October &#8211; Silver Cast Bar Ag 999.9 2 oz	50	2 oz				ividual serial numbers and the mint&#8217;s mark. The oxidized bar is limited to 50 pieces and features colorful printing. Each bar comes with a Certificate of Authentici
https://germaniamint.com/all-coins/fair-edition-en/2019-germania-1-oz-silver-bu-wmf-2020-edition-2	2019 Germania 1 oz Silver BU WMF 2020 edition	500	1 oz				 each special package will be numbered. The 2020 WMF edition has been limited to 500 pcs. &#8220;Germania&#8221; is the Latin term for Germany, from which the name &#82
https://germaniamint.com/all-coins/fair-edition-en/2019-oak-leaf-1-oz-silver-bu-wmf-2020-edition	2019 Oak Leaf 1 oz Silver BU WMF 2020 edition	500	1 oz				 each special package will be numbered. The 2020 WMF edition has been limited to 500 pcs. Obverse The design of the coin is devoted to the theme of an oak tree. The Ger
https://germaniamint.com/all-coins/fair-edition-en/allegories-britannia-germania-1-oz-silver-bu-wmf-2020-edition	Allegories: Britannia &#038; Germania 1 oz Silver BU WMF 2020 edition	500	1 oz				 each special package will be numbered. The 2020 WMF edition has been limited to 500 pcs. For the first time in the history of numismatics, on the subsequent coins of t
https://germaniamint.com/all-coins/fair-edition-en/allegories-columbia-germania-1-oz-silver-bu	Allegories: Columbia &#038; Germania 1 oz Silver BU		1 oz				
https://germaniamint.com/all-coins/fair-edition-en/allegories-columbia-germania-1-oz-silver-bu-wmf-2020-edition	Allegories: Columbia &#038; Germania 1 oz Silver BU WMF 2020 edition	500	1 oz				 each special package will be numbered. The 2020 WMF edition has been limited to 500 pcs. Obverse Germania Mint presents a modern interpretation of both poetic personif
https://germaniamint.com/all-coins/fair-edition-en/mythical-forest-2019-oak-leaf-1-oz-silver-bu	Mythical Forest 2019 Oak Leaf 1 oz Silver BU		1 oz				
https://germaniamint.com/all-coins/no-series/2019-germania-1-oz-silver-bu-space-blue	2019 Germania 1 oz Silver BU Space Blue	500	1 oz				sterious as the figure of Germania itself. The mintage of the coin is certified up to 500 pieces. Each coin has been numbered using a new method, in which the number is placed 
https://germaniamint.com/all-coins/no-series/2019-germania-1-oz-silver-bu-wmf-2020-edition	2019 Germania 1 oz Silver BU WMF 2020 edition		1 oz				
https://germaniamint.com/all-coins/no-series/2023-fast-furious-2-dollars-1-oz-silver-prooflike	2023 Fast &#038; Furious 2 Dollars 1 oz Silver Prooflike		1 oz		2 Dollars		
https://germaniamint.com/all-coins/no-series/2023-germania-10-oz-silver-bu-ana-edition	2023 Germania 10 oz Silver BU ANA Edition		10 oz				
https://germaniamint.com/all-coins/no-series/2023-germania-2-oz-silver-bu-ana-edition	2023 Germania 2 oz Silver BU ANA Edition		2 oz				
https://germaniamint.com/all-coins/no-series/2025-germania-1-oz-black-silver-bu-wmf-edition	2025 Germania 1 oz Black Silver BU WMF Edition		1 oz				
https://germaniamint.com/all-coins/no-series/2025-germania-1-oz-black-silver-bu-wmf-edition-2	2025 Germania 1 oz Black Silver BU WMF Edition		1 oz				
https://germaniamint.com/all-coins/no-series/allegories-polonia-germania-2-oz-wmf-2023	Allegories: Polonia &#038; Germania 2 oz WMF 2023	500	2 oz				inging out even more details of the design. This exclusive edition is limited to 500 pieces with a dedicated COA and special fair packaging. For more information, please v
https://germaniamint.com/all-coins/no-series/interkosmos-gagarin-1-oz-silver-bu	Interkosmos: Gagarin 1 oz Silver BU	15 000	1 oz				he medal will be available as 1 oz 999.9 Silver BU, issued in limited mintage of 15 000 pieces with certificate. Collect & Invest All coins All bars Catalog Distributors Find
https://germaniamint.com/all-coins/no-series/interkosmos-gagarin-orbital-1-oz-silver-bu	Interkosmos: Gagarin Orbital 1 oz Silver BU		1 oz				
https://germaniamint.com/all-coins/no-series/representatives-of-the-species-niue-island-2023-chameleon-2-oz-silver-hr	Representatives of the Species: Niue Island 2023 &#8211; Chameleon 2 oz Silver HR		2 oz				eleon 2 oz Silver HR coin will be issued in an edition of 500 specially ennobled pieces, along with a Certificate of Authenticity and sustainable packaging. Collect & 
