slug	status	source_url	image_urls_count	product_count	welcome_wall	image_obverse	image_reverse	image_box	image_certificate	image_blister_obverse	image_blister_reverse
rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin	ok	https://www.royalmint.com/invest/bullion/bullion-coins/silver-coins/2oz-silver-bullion-coins/rqp252s--the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin	85	6	0	/image/coins/foreign/rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin-obv.webp	/image/coins/foreign/rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin-rev.webp			/image/coins/foreign/rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin-blister-obv.webp	/image/coins/foreign/rqp252s-the-royal-tudor-beasts-2025-queens-panther-2oz-silver-bullion-coin-blister-rev.webp
britannia-2022-1-oz-silver-bullion-coin	only_packshot_no_sides	https://www.royalmint.com/invest/bullion/bullion-coins/silver-coins/britannia-2022-1-oz-silver-bullion-coin	82	1	0						/image/coins/foreign/britannia-2022-1-oz-silver-bullion-coin-blister-rev.webp
2025-britannia-2oz-silver-proof-coin	ok	https://www.royalmint.com/britannia/commemorative/2025-britannia-2oz-silver-proof-coin	84	5	0	/image/coins/foreign/2025-britannia-2oz-silver-proof-coin-obv.webp	/image/coins/foreign/2025-britannia-2oz-silver-proof-coin-rev.webp	/image/coins/foreign/2025-britannia-2oz-silver-proof-coin-box.webp			
harry-potter-the-patronus-2025-fifty-pence-silver-proof-colour-coin	ok	https://www.royalmint.com/shop/limited-editions/harry-potter/the-patronus/harry-potter-the-patronus-2025-fifty-pence-silver-proof-colour-coin	82	3	0	/image/coins/foreign/harry-potter-the-patronus-2025-fifty-pence-silver-proof-colour-coin-obv.webp	/image/coins/foreign/harry-potter-the-patronus-2025-fifty-pence-silver-proof-colour-coin-rev.webp	/image/coins/foreign/harry-potter-the-patronus-2025-fifty-pence-silver-proof-colour-coin-box.webp			
krugerrand-2024-1oz-silver-bullion-coin	ok	https://www.royalmint.com/invest/bullion/uk-coin-ranges/world-coins/krugerrand-2024-1oz-silver-bullion-coin	81	2	0	/image/coins/foreign/krugerrand-2024-1oz-silver-bullion-coin-obv.webp	/image/coins/foreign/krugerrand-2024-1oz-silver-bullion-coin-rev.webp				
the-80th-anniversary-of-ve-day-collector-two-coin-set	ok	https://www.royalmint.com/shop/limited-editions/ve-day/The-80th-Anniversary-of-VE-Day-Collector-Two-Coin-Set	85	3	0	/image/coins/foreign/the-80th-anniversary-of-ve-day-collector-two-coin-set-obv.webp	/image/coins/foreign/the-80th-anniversary-of-ve-day-collector-two-coin-set-rev.webp	/image/coins/foreign/the-80th-anniversary-of-ve-day-collector-two-coin-set-box.webp			
the-british-lion-and-american-eagle-2024-1oz-silver-bullion-coin	ok	https://www.royalmint.com/invest/bullion/bullion-coins/silver-coins/the-british-lion-and-american-eagle-2024-1oz-silver-bullion-coin	85	6	0	/image/coins/foreign/the-british-lion-and-american-eagle-2024-1oz-silver-bullion-coin-obv.webp	/image/coins/foreign/the-british-lion-and-american-eagle-2024-1oz-silver-bullion-coin-rev.webp			/image/coins/foreign/the-british-lion-and-american-eagle-2024-1oz-silver-bullion-coin-blister-obv.webp	/image/coins/foreign/the-british-lion-and-american-eagle-2024-1oz-silver-bullion-coin-blister-rev.webp
the-greyhound-of-richmond-2025-1oz-silver-proof-coin	ok	https://www.royalmint.com/the-royal-tudor-beasts/greyhound-of-richmond/the-greyhound-of-richmond-2025-1oz-silver-proof-coin	84	5	0	/image/coins/foreign/the-greyhound-of-richmond-2025-1oz-silver-proof-coin-obv.webp	/image/coins/foreign/the-greyhound-of-richmond-2025-1oz-silver-proof-coin-rev.webp	/image/coins/foreign/the-greyhound-of-richmond-2025-1oz-silver-proof-coin-box.webp			
2025-britannia-1oz-silver-proof-coin	ok	https://www.royalmint.com/britannia/commemorative/2025-britannia-1oz-silver-proof-coin	84	5	0	/image/coins/foreign/2025-britannia-1oz-silver-proof-coin-obv.webp	/image/coins/foreign/2025-britannia-1oz-silver-proof-coin-rev.webp	/image/coins/foreign/2025-britannia-1oz-silver-proof-coin-box.webp			
john-lennon-2025-1kg-silver-proof-coin	ok	https://www.royalmint.com/shop/limited-editions/music-legends/john-lennon/john-lennon-2025-1kg-silver-proof-coin	84	5	0	/image/coins/foreign/john-lennon-2025-1kg-silver-proof-coin-obv.webp	/image/coins/foreign/john-lennon-2025-1kg-silver-proof-coin-rev.webp	/image/coins/foreign/john-lennon-2025-1kg-silver-proof-coin-box.webp			
