slug	source_url	image_obverse	image_reverse	image_box	image_blister_obverse	image_blister_reverse
britannia-2022-1-oz-silver-bullion-coin	https://www.royalmint.com/invest/bullion/bullion-coins/silver-coins/britannia-2022-1-oz-silver-bullion-coin					/image/coins/foreign/britannia-2022-1-oz-silver-bullion-coin-blister-rev.webp
concorde-2026-50p-silver-proof-coin	https://www.royalmint.com/shop/limited-editions/concorde/concorde-2026-50p-silver-proof-coin					
100-years-of-winnie-the-pooh-2026-50p-silver-proof-colour-three-coin-collection	https://www.royalmint.com/shop/limited-editions/winnie-the-pooh/collection/100-years-of-winnie-the-pooh-2026-50p-silver-proof-colour-three-coin-collection					
the-royal-tudor-beasts-the-queens-lion-2026-1oz-silver-proof-coin	https://www.royalmint.com/the-royal-tudor-beasts/the-queens-lion/the-royal-tudor-beasts-the-queens-lion-2026-1oz-silver-proof-coin					/image/coins/foreign/the-royal-tudor-beasts-the-queens-lion-2026-1oz-silver-proof-coin-blister-rev.webp
the-legacy-of-the-napoleonic-war-four-coin-set	https://www.royalmint.com/shop/coin-sets/the-legacy-of-the-napoleonic-war-four-coin-set					
king-charles-iii-definitives-2024-uk-50p-silver-proof-coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/King-Charles-III-Definitives-2024-UK-50p-Silver-Proof-Coin					
national-gallery-2024-2-pound-silver-proof-piedfort-coin	https://www.royalmint.com/shop/limited-editions/national-gallery/national-gallery-2024-2-pound-silver-proof-piedfort-coin					
2026-britannia-2oz-silver-proof-coin	https://www.royalmint.com/britannia/commemorative/2026-britannia-2oz-silver-proof-coin					/image/coins/foreign/2026-britannia-2oz-silver-proof-coin-blister-rev.webp
2019-queen-victoria-uk-silver-proof-5-piedfort-coin	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2019-Queen-Victoria-UK-Silver-Proof-5-Piedfort-Coin					
britannia-silver-set	https://www.royalmint.com/shop/coin-sets/Britannia-Silver-Set					/image/coins/foreign/britannia-silver-set-blister-rev.webp
2020-celebrating-british-diversity-50p-silver-proof	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2020-Celebrating-British-Diversity-50p-Silver-Proof					
the-lion-and-the-eagle-2024-uk-1-2oz-silver-proof-coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/The-Lion-and-The-Eagle-2024-UK-1-2oz-Silver-Proof-Coin					
2019-remembrance-day-uk-5-silver-proof-piedfort	https://www.royalmint.com/shop/monarch/queen-elizabeth-ii/2019-Remembrance-Day-UK-5-Silver-Proof-Piedfort					
75-years-of-dennis-the-menace-2026-1kg-silver-proof-coin	https://www.royalmint.com/shop/limited-editions/dennis-the-menace/75-years-of-dennis-the-menace-2026-1kg-silver-proof-coin					
charles-iii-definitives-2024-uk-2-pound-silver-proof-coin	https://www.royalmint.com/shop/ancient-historic/trial-of-the-pyx/archive/Charles-III-Definitives-2024-UK-2-Pound-Silver-Proof-Coin					
