reason	slug	seed	title	obv	rev
"missing_obverse"	"britannia-2022-1-oz-silver-bullion-coin"	"https://www.royalmint.com/invest/bullion/bullion-coins/silver-coins/britannia-2022-1-oz-silver-bullion-coin"	"Britannia 2022 1 oz Silver Bullion Coin"	""	"https://www.royalmint.com/globalassets/_ecommerce/invest/launches/2026/britannia/products/silver-1-oz/bb26s1c---2026-bullion-britannia-1oz-silver-reverse-tube.jpg"
"edge_mixed_pair"	"lunar-year-of-the-snake-2025-1oz-silver-proof-coin"	"https://www.royalmint.com/lunar/year-of-the-snake/lunar-year-of-the-snake-2025-1oz-silver-proof-coin"	"Lunar Year of the Snake 2025 UK 1oz Silver Proof Coin"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/lunar---year-of-the-snake/uk25lss1-tlunar-year-of-the-snake-2025-uk-1oz-silver-proof-coin-obverse-edge--1500x1500-f3a2c67.jpg"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/lunar---year-of-the-snake/uk25lss1---lunar-year-of-the-snake-2025-uk-1oz-silver-proof-coin-reverse-in-case-left-1500x1500-f3a2c67.jpg"
"edge_mixed_pair"	"lunar-year-of-the-snake-2025-5oz-silver-proof-coin"	"https://www.royalmint.com/lunar/year-of-the-snake/lunar-year-of-the-snake-2025-5oz-silver-proof-coin"	"Lunar Year of the Snake 2025 UK 5oz Silver Proof Coin"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/lunar---year-of-the-snake/uk25lss5-tlunar-year-of-the-snake-2025-uk-5oz-silver-proof-coin-obverse-edge--1500x1500-f3a2c67.jpg"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/lunar---year-of-the-snake/uk25lss5---lunar-year-of-the-snake-2025-uk-5oz-silver-proof-coin-reverse-in-case-left-1500x1500-f3a2c67.jpg"
"missing_obverse"	"the-80th-anniversary-of-ve-day-2025-50p-silver-proof-coin"	"https://www.royalmint.com/shop/limited-editions/ve-day/the-80th-anniversary-of-ve-day-2025-50p-silver-proof-coin"	"The 80th Anniversary of VE Day 2025 UK 50p Silver Proof Coin"	""	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/ve-day/product-images/uk25vesp-t80th-anniversary-of-ve-day-2025-uk-50p-silver-proof-coin-reverse-with-edge-1500x1500-f3a2c67.jpg"
"edge_mixed_pair"	"150-years-of-liberty-2025-silver-proof-colour-coin"	"https://www.royalmint.com/shop/limited-editions/150-years-of-liberty/150-years-of-liberty-2025-silver-proof-colour-coin"	"150 Years of Liberty 2025 £5 Silver Proof Colour Coin"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/liberty-london/product-images/uk25llsp---150-years-of-liberty-2025-gbp5-silver-proof-colour-coin-obverse-edge-1500x1500-f3a2c67.jpg"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/liberty-london/product-images/uk25llsp---150-years-of-liberty-2025-gbp5-silver-proof-colour-coin-reverse-case-1500x1500-f3a2c67.jpg"
"missing_obverse"	"the-queens-panther-2025-10oz-silver-proof-coin"	"https://www.royalmint.com/the-royal-tudor-beasts/the-queens-panther/the-queens-panther-2025-10oz-silver-proof-coin"	"The Royal Tudor Beasts The Queen’s Panther 2025 UK 10oz Silver Proof Coin"	""	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2024-launches/queens-panther/product-images/10oz-silver/uk25qpst-tthe-royal-tudor-beasts-the-queens-panther-2025-uk-10oz-silver-proof-coin-case-left-1500x1500-f3a2c67.jpg"
"edge_mixed_pair"	"hms-belfast-2025-uk-2-pound-silver-proof-coin"	"https://www.royalmint.com/shop/limited-editions/hms-belfast/hms-belfast-2025-uk-2-pound-silver-proof-coin"	"HMS Belfast 2025 UK £2 Silver Proof Coin"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/hms-belfast/product-images/uk25hbsp-ticonic-navy-vessels---hms-belfast-2025-gbp2-silver-proof-coin-obverse-edge-1500x1500-f3a2c67.jpg"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/hms-belfast/product-images/uk25hbsp-iconic-navy-vessels---hms-belfast-2025-gbp2-silver-proof-coin-reverse-case-left-1500x1500-f3a2c67.jpg"
"edge_mixed_pair"	"zog-2025-50p-silver-proof-colour-coin"	"https://www.royalmint.com/shop/limited-editions/zog/zog-2025-50p-silver-proof-colour-coin"	"Zog 2025 UK 50p Silver Proof Colour Coin"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/zog/product-images/uk25zgsp---zog-2025-uk-50p-silver-proof-colour-coin-obverse-edge-1500x1500-f3a2c67.jpg"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2025-launches/zog/product-images/uk25zgsp---zog-2025-uk-50p-silver-proof-colour-coin-reverse-acrylic-block-1500x1500-f3a2c67.jpg"
"missing_obverse"	"100-years-of-winnie-the-pooh-2026-50p-silver-proof-colour-three-coin-collection"	"https://www.royalmint.com/shop/limited-editions/winnie-the-pooh/collection/100-years-of-winnie-the-pooh-2026-50p-silver-proof-colour-three-coin-collection"	"100 Years of Winnie the Pooh 2026 UK 50p Silver Proof Colour Three-Coin Collection"	""	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2026-launches/denis-the-menace/product-images/uk26dmbu-75-years-of-dennis-the-menace-2026-uk-50p-brilliant-uncirculated-coin-reverse-pack-front.jpg"
"edge_mixed_pair"	"75-years-of-dennis-the-menace-2026-50p-silver-proof-colour-coin"	"https://www.royalmint.com/shop/limited-editions/dennis-the-menace/75-years-of-dennis-the-menace-2026-50p-silver-proof-colour-coin"	"75 Years of Dennis the Menace 2026 UK 50p Silver Proof Colour Coin"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2026-launches/denis-the-menace/product-images/uk26dmsp75-years-of-dennis-the-menace-2026-uk-50p-silver-proof-colour-coin-obverse-with-edge.jpg"	"https://www.royalmint.com/globalassets/_ecommerce/commemorative/launches/2026-launches/denis-the-menace/product-images/uk26dmbu-75-years-of-dennis-the-menace-2026-uk-50p-brilliant-uncirculated-coin-reverse-pack-front.jpg"
