id,url,title,mint_name,mint_short,mint_country,issue_type,current_weightG,current_weightOz,current_weightLabel,suggested_weightG,suggested_weightOz_display,notes
,,━━ Московский монетный двор (ММД) · Россия ━━,Московский монетный двор,ММД,Россия,SECTION,,,,,,
2539,https://omonete.ru/coins/2539/,Переславль-Залесский,Московский монетный двор,ММД,Россия,weightG_не_совпадает_с_граммами_в_weightLabel,124.4,1/2 унции,"1/2 унции · 15,55 грамм",15.55,0.5 oz (из подписи),"В подписи 15.55 г, в weightG 124.4. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
3404,https://omonete.ru/coins/3404/,Ростов,Московский монетный двор,ММД,Россия,weightG_не_совпадает_с_граммами_в_weightLabel,124.4,1/2 унции,"1/2 унции · 15,55 грамм",15.55,0.5 oz (из подписи),"В подписи 15.55 г, в weightG 124.4. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
3996,https://omonete.ru/coins/3996/,Боголюбово,Московский монетный двор,ММД,Россия,weightG_не_совпадает_с_граммами_в_weightLabel,124.4,1/2 унции,"1/2 унции · 15,55 грамм",15.55,0.5 oz (из подписи),"В подписи 15.55 г, в weightG 124.4. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
,,━━ Санкт-Петербургский монетный двор (СПМД) · Россия ━━,Санкт-Петербургский монетный двор,СПМД,Россия,SECTION,,,,,,
2540,https://omonete.ru/coins/2540/,Александров,Санкт-Петербургский монетный двор,СПМД,Россия,weightG_не_совпадает_с_граммами_в_weightLabel,124.4,1/2 унции,"1/2 унции · 15,55 грамм",15.55,0.5 oz (из подписи),"В подписи 15.55 г, в weightG 124.4. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
3405,https://omonete.ru/coins/3405/,Углич,Санкт-Петербургский монетный двор,СПМД,Россия,weightG_не_совпадает_с_граммами_в_weightLabel,124.4,1/2 унции,"1/2 унции · 15,55 грамм",15.55,0.5 oz (из подписи),"В подписи 15.55 г, в weightG 124.4. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
3997,https://omonete.ru/coins/3997/,Юрьев-Польский,Санкт-Петербургский монетный двор,СПМД,Россия,weightG_не_совпадает_с_граммами_в_weightLabel,124.4,1/2 унции,"1/2 унции · 15,55 грамм",15.55,0.5 oz (из подписи),"В подписи 15.55 г, в weightG 124.4. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
,,━━ Germania Mint (Germania Mint) · Польша ━━,Germania Mint,Germania Mint,Польша,SECTION,,,,,,
6353,https://omonete.ru/coins/6353/,2024 Ragnarök: Sköll & Hati Geminus Sköll 1 oz Silver BU,Germania Mint,Germania Mint,Польша,title_1oz_vs_weightG,62.2,2 oz,"2 унции · 62,2 г",31.1,1,"В названии полная унция, вес 62.2 г сильно отличается от тройской 1 oz (~31.1 г). Возможно, ошибка в title (часто 1/10 или 1/2 oz) или в weightG."
6382,https://omonete.ru/coins/6382/,2025 Ragnarök: Loki & Heimdall Geminus 2 x 1 oz Silver BU,Germania Mint,Germania Mint,Польша,title_1oz_vs_weightG,62.2,2 oz,"2 унции · 62,2 г",31.1,1,"В названии полная унция, вес 62.2 г сильно отличается от тройской 1 oz (~31.1 г). Возможно, ошибка в title (часто 1/10 или 1/2 oz) или в weightG."
6408,https://omonete.ru/coins/6408/,Germania Beasts: Fafnir Geminus 2 x 1 oz Silver BU,Germania Mint,Germania Mint,Польша,title_1oz_vs_weightG,62.2,2 oz,"2 унции · 62,2 г",31.1,1,"В названии полная унция, вес 62.2 г сильно отличается от тройской 1 oz (~31.1 г). Возможно, ошибка в title (часто 1/10 или 1/2 oz) или в weightG."
6411,https://omonete.ru/coins/6411/,Germania Beasts: Fenrir Geminus 2 x 1 oz Silver BU,Germania Mint,Germania Mint,Польша,title_1oz_vs_weightG,62.2,2 oz,"2 унции · 62,2 г",31.1,1,"В названии полная унция, вес 62.2 г сильно отличается от тройской 1 oz (~31.1 г). Возможно, ошибка в title (часто 1/10 или 1/2 oz) или в weightG."
,,━━ The Royal Mint (Royal Mint) · Великобритания ━━,The Royal Mint,Royal Mint,Великобритания,SECTION,,,,,,
4224,https://omonete.ru/coins/4224/,1926 King George V South African Mint Gold Sovereign,The Royal Mint,Royal Mint,Великобритания,weightG_не_совпадает_с_граммами_в_weightLabel,8,1 унция,"1 унция · 31,1 грамм",31.1,1 oz (из подписи),"В подписи 31.1 г, в weightG 8. Предложение: выровнять weightG под подпись (или исправить подпись под фактический вес монеты)."
