id,sku,mintage,mintage_display,confidence,kind
"4220","10Q39AAA","","Набор из 2 подлинных соверенов Perth Mint: 1899 г. — тираж чеканки 690 992; 1931 г. — 1 173 568 (таблица Perth, goldsovereigns.co.uk/perthmintaustralia.html). Лимит сборки набора Perth Mint не публикуется.","medium","historic_set"
"4221","21M80AAA","","Коллекция подлинных соверенов George V 1911–1931 (короб Perth Mint). Максимальный тираж/лимит набора на сайте и в JSON товара не указан; монеты — оригинальная чеканка разных годов и монетных дворов.","low","historic_typeset"
"4224","25Y99AAA","11107611","11 107 611 (чеканка Pretoria 1926; Atkinsons / справочники SA sovereign)","high","historic_single"
"4225","25Z03AAA","16379704","16 379 704 (чеканка Pretoria 1927; Sovr.co.uk, Britannia Coin)","high","historic_single"
"4490","21K01AAA","150","150","high","modern_proof"
"5208","19G99BAA","","Набор из 3 подлинных соверенов 1910 г. (монетные знаки P, M, S). Лимит набора не опубликован. Тираж чеканки Perth (P) за 1910 г.: 4 690 625 (goldsovereigns.co.uk/perthmintaustralia.html).","medium","historic_trio"
"5209","18F43AAA","4373165","4 373 165 (чеканка Perth 1911, George V)","high","historic_single"
"5210","19F79AAA","4278144","4 278 144 (чеканка Perth 1912)","high","historic_single"
"5212","14W18AAA","","Набор из 3 подлинных соверенов 1914 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1914 г.: 4 815 996 (goldsovereigns.co.uk/perthmintaustralia.html).","medium","historic_trio"
"5213","14W96AAA","4815996","4 815 996 (чеканка Perth 1914)","high","historic_single"
"5214","15X69BAA","","Набор из 3 подлинных соверенов 1915 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1915 г.: 4 373 596.","medium","historic_trio"
"5215","15X69AAA","4373596","4 373 596 (чеканка Perth 1915)","high","historic_single"
"5216","16A21AAA","","Набор из 3 подлинных соверенов 1916 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1916 г.: 4 096 721.","medium","historic_trio"
"5217","16Y89DAA","4096721","4 096 721 (чеканка Perth 1916)","high","historic_single"
"5219","17B71AAA","4110286","4 110 286 (чеканка Perth 1917)","high","historic_single"
"5220","18D76AAA","","Набор из 3 подлинных соверенов 1918 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1918 г.: 3 812 884.","medium","historic_trio"
"5221","17D34AAA","3812884","3 812 884 (чеканка Perth 1918)","high","historic_single"
"5222","18F42AAA","","Набор из 3 подлинных соверенов 1919 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1919 г.: 2 995 216.","medium","historic_trio"
"5224","19G16AAA","2421196","2 421 196 (чеканка Perth 1920)","high","historic_single"
"5225","18F19AAA","3520000","3 520 000 (London 1925 George V; справочники дилеров)","medium","historic_single"
"5262","14V29AAA","1500","1 500","high","modern_proof"
"5264","16Y03AAA","1500","1 500","high","modern_proof"
"5266","18B45AAA","1000","1 000","high","modern_proof"
"5549","14W26AAA","","Набор из 5 подлинных золотых соверенов Perth периода Первой мировой войны (1914–1918). Лимит набора Perth Mint в открытых данных не найден; тиражи по годам — см. таблицу Perth на goldsovereigns.co.uk/perthmintaustralia.html (1914: 4 815 996 … 1918: 3 812 884).","medium","historic_set"
"5807","20G93AAA","1770","1 770","high","modern_proof"
"5996","21M80AAA","","Коллекция подлинных соверенов George V 1911–1931 (короб Perth Mint). Максимальный тираж/лимит набора на сайте и в JSON товара не указан; монеты — оригинальная чеканка разных годов и монетных дворов.","low","historic_typeset"
"5999","21N95AAA","","Два золотых соверена 2021 г. в юбилейном наборе; точный объявленный лимит набора в открытых источниках не подтверждён (проверить COA / объявленные тиражи Perth Mint). Ориентир: стандартный Australia Sovereign 2021 proof — до 1 000 экз. (onlinecoin.club), piedfort/спецверсии — другие лимиты.","low","modern_set"
"6002","19G99BAA","","Набор из 3 подлинных соверенов 1910 г. (монетные знаки P, M, S). Лимит набора не опубликован. Тираж чеканки Perth (P) за 1910 г.: 4 690 625 (goldsovereigns.co.uk/perthmintaustralia.html).","medium","historic_trio"
"6003","14W18AAA","","Набор из 3 подлинных соверенов 1914 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1914 г.: 4 815 996 (goldsovereigns.co.uk/perthmintaustralia.html).","medium","historic_trio"
"6004","15X69BAA","","Набор из 3 подлинных соверенов 1915 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1915 г.: 4 373 596.","medium","historic_trio"
"6005","16A21AAA","","Набор из 3 подлинных соверенов 1916 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1916 г.: 4 096 721.","medium","historic_trio"
"6007","18D76AAA","","Набор из 3 подлинных соверенов 1918 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1918 г.: 3 812 884.","medium","historic_trio"
"6008","18F42AAA","","Набор из 3 подлинных соверенов 1919 г. (P, M, S). Лимит не опубликован. Тираж Perth (P) за 1919 г.: 2 995 216.","medium","historic_trio"
"6009","18F19AAA","3520000","3 520 000 (London 1925 George V; справочники дилеров)","medium","historic_single"
"6010","25Y99AAA","11107611","11 107 611 (чеканка Pretoria 1926; Atkinsons / справочники SA sovereign)","high","historic_single"
"6011","25Z03AAA","16379704","16 379 704 (чеканка Pretoria 1927; Sovr.co.uk, Britannia Coin)","high","historic_single"
