our_id,our_url,our_title,our_year,our_metal,our_weight_g,our_weight_oz,our_mintage,our_face_value,our_mint,site_url,site_title,site_year,site_metal,site_weight_g,site_weight_oz,site_mintage,site_face_value,site_sku,match_similarity,match_anchor_overlap
6580,https://www.royalmint.com/lunar/year-of-the-snake/lunar-year-of-the-snake-2025-5oz-gold-proof-coin,Lunar Year of the Snake 2025 UK 5oz Gold Proof Coin,2025,Золото,156.3,,138,£500,Royal Mint,https://www.mint.ca/en/shop/coins/2025/1kg-pure-gold-coin-lunar-year-of-the-snake,Lunar Year of the Snake - 1 kg Pure Gold Coin,2025,99.99% pure gold,1005,32.3115,501,"$2,500",247778,0.686,1
6105,https://www.royalmint.com/lunar/year-of-the-snake/lunar-year-of-the-snake-2025-1oz-silver-proof-coin,Lunar Year of the Snake 2025 UK 1oz Silver Proof Coin,2025,Серебро,,,,£2,Royal Mint,https://www.mint.ca/en/shop/coins/2025/fine-silver-coin-lunar-year-of-the-snake,Lunar Year of the Snake - 1 oz. Fine Silver Coin,2025,99.99% pure silver,31.39,1.0092,188883,$15,247678,0.679,1
4410,https://www.perthmint.com/shop/collector-coins/beth-zaiken-collection-the-koala-2025-2oz-silver-proof-ultra-high-relief-coin,Beth Zaiken Collection - The Koala 2025 2oz Silver Proof Ultra High Relief Coin,2025,Серебро,62.2,2,1500,2 доллара (Австралия),Perth Mint,https://www.mint.ca/en/shop/coins/2025/great-hunters-grey-wolf-1-oz-fine-silver-ultra-high-relief-coin,Great Hunters: Grey Wolf – 1 oz. Fine Silver Ultra High Relief Coin,2025,99.99% pure silver,31.39,1.0092,60003,$20,250386,0.494,3
4395,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2025-1oz-gold-reverse-proof-ultra-high-relief-coin,Australian Wedge-tailed Eagle 2025 1oz Gold Reverse Proof Ultra High Relief Coin,2025,Золото,31.1,1,500,100 долларов (Австралия),Perth Mint,https://www.mint.ca/en/shop/coins/2025/great-hunters-grey-wolf-1-oz-pure-gold-ultra-high-relief-coin,Great Hunters: Grey Wolf – 1 oz. Pure Gold Ultra High Relief Coin,2025,99.99% pure gold,33.17,1.0664,400,$200,250395,0.500,3
6580,https://www.royalmint.com/lunar/year-of-the-snake/lunar-year-of-the-snake-2025-5oz-gold-proof-coin,Lunar Year of the Snake 2025 UK 5oz Gold Proof Coin,2025,Золото,156.3,,138,£500,Royal Mint,https://www.mint.ca/en/shop/coins/2025/pure-gold-coin-lunar-year-of-the-snake,Lunar Year of the Snake - Pure Gold Coin (2025),2025,99.99% pure gold,15.43,0.4961,18883,$100,247789,0.647,2
4392,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2025-1-kilo-silver-proof-ultra-high-relief-gilded-coin,Australian Wedge-tailed Eagle 2025 1 Kilo Silver Proof Ultra High Relief Gilded Coin,2025,Серебро,1,32.151,200,30 долларов (Австралия),Perth Mint,https://www.mint.ca/en/shop/coins/2025/silver-maple-leaf-1-oz-fine-silver-ultra-high-relief-coin-2025,Silver Maple Leaf – 1 oz. Fine Silver Ultra-High Relief Coin (2025),2025,99.99% pure silver with rose gold plating,31.39,1.0092,85004,$20,250661,0.464,4
4392,https://www.perthmint.com/shop/collector-coins/coins/australian-wedge-tailed-eagle-2025-1-kilo-silver-proof-ultra-high-relief-gilded-coin,Australian Wedge-tailed Eagle 2025 1 Kilo Silver Proof Ultra High Relief Gilded Coin,2025,Серебро,1,32.151,200,30 долларов (Австралия),Perth Mint,https://www.mint.ca/en/shop/coins/2025/silver-maple-leaf-5-oz-fine-silver-coin-ultra-high-relief-coin-2025,Silver Maple Leaf – 5 oz. Fine Silver Coin Ultra-High Relief Coin (2025),2025,99.99% pure silver with rose gold plating,157.6,5.0670,18501,$50,250674,0.488,4
6019,https://www.royalmint.com/shop/limited-editions/100th-anniversary-of-the-birth-of-queen-elizabeth-ii/100th-anniversary-of-the-birth-of-queen-elizabeth-ii-2026-silver-proof-piedfort-coin,100th Anniversary of the Birth of Queen Elizabeth II 2026 UK £5 Silver Proof Piedfort Coin,2026,Серебро,,,,£5,Royal Mint,https://www.mint.ca/en/shop/coins/2026/100th-anniversary-of-the-royal-canadian-legion-fine-silver-proof-dollar-2026,100th Anniversary of The Royal Canadian Legion – Fine Silver Proof Dollar (2026),2026,99.99% pure silver,23.17,0.7449,350008,$1,251870,0.539,2
6492,https://www.royalmint.com/shop/limited-editions/100th-anniversary-of-the-birth-of-queen-elizabeth-ii/100th-anniversary-of-the-birth-of-queen-elizabeth-ii-2026-gold-proof-coin,100th Anniversary of the Birth of Queen Elizabeth II 2026 UK £5 Gold Proof Coin,2026,Золото,39.9,,235,£5,Royal Mint,https://www.mint.ca/en/shop/coins/2026/100th-anniversary-of-the-royal-canadian-legion-pure-gold-coin-2026,100th Anniversary of The  Royal Canadian Legion – Pure Gold Coin (2026),2026,99.99% pure gold,7.8,0.2508,15002,$100,253449,0.513,2
4463,https://www.perthmint.com/shop/collector-coins/coins/fifa-world-cup-2026-1-2oz-silver-proof-coloured-coin,FIFA World Cup 2026™ 1/2oz Silver Proof Coloured Coin,2026,Серебро,15.55,0.5,5000,"0,5 долларов (Австралия)",Perth Mint,https://www.mint.ca/en/shop/coins/2026/fifa-world-cup-2026-the-winning-goal-1-oz-fine-silver-coin,FIFA World Cup 2026ᵀᴹ: The Winning Goal – 1 oz. Fine Silver Coin,2026,99.99% pure silver,31.39,1.0092,11000,$20,253195,0.476,3
4463,https://www.perthmint.com/shop/collector-coins/coins/fifa-world-cup-2026-1-2oz-silver-proof-coloured-coin,FIFA World Cup 2026™ 1/2oz Silver Proof Coloured Coin,2026,Серебро,15.55,0.5,5000,"0,5 долларов (Австралия)",Perth Mint,https://www.mint.ca/en/shop/coins/2026/fifa-world-cup-2026tm-mc-the-trophy-5-oz-fine-silver-coin,FIFA World Cup 2026ᵀᴹ: The Trophy – 5 oz. Fine Silver Coin,2026,99.99% pure silver with Ultra High Relief and genuine malachite,157.6,5.0670,15001,$50,252236,0.509,3
4463,https://www.perthmint.com/shop/collector-coins/coins/fifa-world-cup-2026-1-2oz-silver-proof-coloured-coin,FIFA World Cup 2026™ 1/2oz Silver Proof Coloured Coin,2026,Серебро,15.55,0.5,5000,"0,5 долларов (Австралия)",Perth Mint,https://www.mint.ca/en/shop/coins/2026/fifa-world-cup-2026tm-mc-we-are-26tm-mc-1-oz-fine-silver-coin,FIFA World Cup 2026ᵀᴹ : We Are 26ᵀᴹ  – 1 oz. Fine Silver Coin,2026,99.99% pure silver with selective colour,31.39,1.0092,11000,$20,252804,0.508,3
6577,https://www.royalmint.com/lunar/year-of-the-horse/lunar-year-of-the-horse-1-oz-gold-proof-coin,Lunar Year of the Horse 2026 UK 1oz Gold Proof Coin,2026,Золото,31.1,1 oz,698,£100,Royal Mint,https://www.mint.ca/en/shop/coins/2026/lunar-year-of-the-horse-1-kg-pure-gold-coin,Lunar Year of the Horse – 1 kg Pure Gold Coin (2026),2026,99.99% pure gold,1005,32.3115,66,"$2,500",250303,0.647,2
6104,https://www.royalmint.com/lunar/year-of-the-horse/lunar-year-of-the-horse-1oz-silver-proof-coin,Lunar Year of the Horse 2026 UK 1oz Silver Proof Coin,2026,Серебро,,,,£2,Royal Mint,https://www.mint.ca/en/shop/coins/2026/lunar-year-of-the-horse-25-francs-fine-silver-coin-2026,Lunar Year of the Horse - 25 Francs Fine Silver Coin (2026),2026,99.9% pure silver,62.69,2.0155,18883,25 Francs,254126,0.632,2
6577,https://www.royalmint.com/lunar/year-of-the-horse/lunar-year-of-the-horse-1-oz-gold-proof-coin,Lunar Year of the Horse 2026 UK 1oz Gold Proof Coin,2026,Золото,31.1,1 oz,698,£100,Royal Mint,https://www.mint.ca/en/shop/coins/2026/lunar-year-of-the-horse-pure-gold-coin-2026,Lunar Year of the Horse – Pure Gold Coin (2026),2026,99.99% pure gold,15.43,0.4961,18882,$100,250293,0.647,2
